"Stkcd","EndDate","FN_Fn06101"
"000002","2016-12-31","深圳市万科房地产有限公司"
"000002","2016-12-31","广州市万科房地产有限公司"
"000002","2016-12-31","上海万科房地产有限公司"
"000002","2016-12-31","北京万科企业有限公司"
"000002","2016-12-31","佛山市万科置业有限公司"
"000002","2016-12-31","东莞市万科房地产有限公司"
"000002","2016-12-31","珠海市万科房地产有限公司"
"000002","2016-12-31","厦门市万科房地产有限公司"
"000002","2016-12-31","福州市万科房地产有限公司"
"000002","2016-12-31","海南万科房地产开发有限公司"
"000002","2016-12-31","南京万科置业有限公司"
"000002","2016-12-31","江苏苏南万科房地产有限公司"
"000002","2016-12-31","宁波万科房地产开发有限公司"
"000002","2016-12-31","合肥万科置业有限公司"
"000002","2016-12-31","唐山万科房地产开发有限公司"
"000002","2016-12-31","天津万科房地产有限公司"
"000002","2016-12-31","沈阳万科房地产开发有限公司"
"000002","2016-12-31","大连万科置业有限公司"
"000002","2016-12-31","长春万科房地产开发有限公司"
"000002","2016-12-31","烟台万科房地产开发有限公司"
"000002","2016-12-31","太原万科房地产有限公司"
"000002","2016-12-31","青岛万科房地产有限公司"
"000002","2016-12-31","成都万科房地产有限公司"
"000002","2016-12-31","武汉市万科房地产有限公司"
"000002","2016-12-31","万科(重庆)房地产有限公司"
"000002","2016-12-31","西安万科企业有限公司"
"000002","2016-12-31","贵阳万科房地产有限公司"
"000002","2016-12-31","昆明万科房地产开发有限公司"
"000002","2016-12-31","新疆万科房地产有限公司"
"000002","2016-12-31","浙江浙南万科房地产有限公司"
"000002","2016-12-31","中山市万科房地产有限公司"
"000002","2016-12-31","长沙市万科房地产开发有限公司"
"000002","2016-12-31","芜湖万科房地产有限公司"
"000002","2016-12-31","扬州万科房地产有限公司"
"000002","2016-12-31","郑州万科房地产有限公司"
"000002","2016-12-31","徐州万科房地产有限公司"
"000002","2016-12-31","济南万科房地产开发有限公司"
"000002","2016-12-31","南宁市万科房地产有限公司"
"000002","2016-12-31","常州万科房地产有限公司"
"000002","2016-12-31","Vanke Property (Overseas)Limited"
"000002","2016-12-31","万科物业发展有限公司"
"000002","2016-12-31","深圳市万科物业服务有限公司"
"000002","2016-12-31","广州市万科物业服务有限公司"
"000002","2016-12-31","东莞市万科物业服务有限公司"
"000002","2016-12-31","佛山市万科物业服务有限公司"
"000002","2016-12-31","南京万科物业管理有限公司"
"000002","2016-12-31","上海万科物业服务有限公司"
"000002","2016-12-31","北京万科物业服务有限公司"
"000002","2016-12-31","天津万科物业服务有限公司"
"000002","2016-12-31","沈阳万科物业服务有限公司"
"000002","2016-12-31","成都万科物业服务有限公司"
"000002","2016-12-31","武汉万科物业服务有限公司"
"000002","2016-12-31","长春万科物业服务有限公司"
"000002","2016-12-31","深圳市万睿智能科技有限公司"
"000002","2016-12-31","万科地产(香港)有限公司"
"000002","2016-12-31","永达中国投资有限公司"
"000002","2016-12-31","万科置业(香港)有限公司"
"000002","2016-12-31","万科置业地产(香港)有限公司"
"000002","2016-12-31","东莞万科建筑技术研究有限公司"
"000002","2016-12-31","Vanke Holdings USA LLC"
"000002","2016-12-31","深圳市浪骑游艇会有限公司"
"000002","2016-12-31","上海硕诚置业有限公司"
"000002","2016-12-31","东莞市万宏房地产有限公司"
"000002","2016-12-31","上海郡科投资管理有限公司"
"000002","2016-12-31","北京万瑞房地产开发有限公司"
"000002","2016-12-31","合肥万科瑞翔地产有限公司"
"000002","2016-12-31","杭州万科锦南置业有限公司"
"000002","2016-12-31","杭州东尚置业有限公司"
"000002","2016-12-31","河南省美景之州地产开发有限公司"
"000002","2016-12-31","上海万之江房地产开发有限公司"
"000002","2016-12-31","宁波万江置业有限公司"
"000004","2016-12-31","山东北大高科华泰制药有限公司"
"000004","2016-12-31","深圳国科投资有限公司"
"000005","2016-12-31","深圳世纪星源物业发展有限公司"
"000005","2016-12-31","深圳国际商务有限公司"
"000005","2016-12-31","深圳智慧空间物业管理服务有限公司"
"000005","2016-12-31","上海大名星苑酒店有限公司"
